Produkt-Typ (Rohr),Produkt-Norm (Rohr),Herstellungsart,Nennweite (DN),Nennweite (Zoll),Wandstärke (mm),Schedule,Außendurchmesser (mm),Innendurchmesser (mm),Fugenform,Oberfläche,Lieferzustand,Werkstoffnummer,DIN/EN-Bezeichnung,Stahlsorte,Handelsname,UNS-Nummer,Gussnummer,Werkstoff Norm,Zulassungen,Ursprung
,GOST 3262,,,28    ,,,,,,,,1.0256,St37.0 / S235,Grade Type B,PV4,G11090,CG3M,A209,KRS (Korean Register of Shipping),Bolivien
,GOST 8732,,,30    ,,,,,,,,1.0257,St37.4 / P235TR2,Grade B,Cryodur 2210,G11080,CN7M,A210,KTA 1401,Bosnien und Herzegowina
,GOST 8734,,,32    ,,,,,,,,1.0300,St44.0 / P275T1,Type B,Cryodur 2235,G11170,CD3MN,A213,KTA 1408.3,Botswana
,GOST 9567,,,34    ,,,,,,,,1.0301,St44.4 / P275T2,B,Cryodur 2242,G11400,CD3MN/,A214,KTA 3201.1,Brasilien
,,,,36    ,,,,,,,,1.0302,C4D,Grade Type 33,Cryodur 2243,G11460,CD3MWCuN-6A,A216,KTA 3211.1,Brunei
,,,,38    ,,,,,,,,1.0304,C10,Grade 33,Cryodur 2249,G11390,CN7MS,A217,KTA 3211.3,Bulgarien
,,,,40    ,,,,,,,,1.0305,C10GPb / C10Pb,Type 33,MCM,G12144,CB7CU-1,A225,LR (Lloyd's Register),Burkina Faso
,,,,42    ,,,,,,,,1.0306,C9D,33,Formadur 2311,G11440,CK3MCuN,A229,NORSOK M650,Burundi
,,,,44    ,,,,,,,,1.0308,St35.8 / P235GH,Grade Type 1021,MCMS,G11370,CF8C/CF8A,A234,NSF/ANSI 61,Chile
,,,,46    ,,,,,,,,1.0309,St35.8 / P235G1TH,Grade 1021,Formadur 2312,K02403,CN3MN,A240,ONGC (Oil & Natural Gas Corporation),China
,,,,48    ,,,,,,,,1.0310,St06Z / DX54D,Type 1021,R65,K02302,HC,A242,PDO (Petroleum Development Oman),Hongkong
,,,,50    ,,,,,,,,1.0311,St35 / S235G2T,1021,Formadur 2316,K12510,CPF8AC,A249,Petrobras,Cookinseln
,,,,52    ,,,,,,,,1.0312,RSt37-2 / E235,Grade Type 1026,Cryodur 2327,K12437,HD,A250,PetroChina,Costa Rica
,,,,54    ,,,,,,,,1.0315,St35 / E235,Grade 1026,Cryodur 2328,K02700,HF,A266,Petronas,Dänemark
,,,,56    ,,,,,,,,1.0319,RSt37-2 / S235G2T,Type 1026,Thermodur 2328,G10100,HF30,A268,RINA (Registro Italiano Navale),Färöer
,,,,58    ,,,,,,,,1.0330,DX55D,1026,WP5V,G10350,CF20,A269,SABIC (Saudi Basic Industries Corporation),Deutschland
,,,,60    ,,,,,,,,1.0339,C10D,Grade Type 65,Thermodur 2344,H10350,CH8,A27,Saudi Aramco,Dominica
,,,,66    ,,,,,,,,1.0345,C12D,Grade 65,DM51,G10380,CPH8,A270,Shell (Royal Dutch),Dominikanische Republik
,,,,72    ,,,,,,,,1.0346,St15 / DC05,Type 65,Cryodur 2357,G10340,HH,A276,Sinopec,Dschibuti
,,,,78    ,,,,,,,,1.0347,St37.8 / P235GH,65,AMO,H10450,1,A297,Statoil TR2000,Ecuador
,,,,84    ,,,,,,,,1.0349,St37.8 / P235G1TH,Grade Type 50,Cryodur 2360,G10420,HH30,A283  ,Total,El Salvador
,,,,90    ,,,,,,,,1.0350,RRStE210.7 / L210GA,Grade 50,WR Special,G10640,CK20,A283-A,ZADCO (Zakum Development Company),Elfenbeinküste
,,,,96    ,,,,,,,,1.0352,"St2, St12 / DC01",Type 50,Formadur 2361,K93600,CPK20,A283-C - A 1011,,Eritrea
,,,,102    ,,,,,,,,1.0355,St2 / DC01,50,Cryodur 2362,K93601,HK,A284,,Estland
,,,,108    ,,,,,,,,1.0356,St12 / DC01,Grade Type 40,EPS 62 SO.,K93602,HK40,A285,,Fidschi
,,,,114    ,,,,,,,,1.0390,RSD10Si / C10Wsi,Grade 40,P5M,K93603,HU,A286,,Finnland
,,,,120    ,,,,,,,,1.0392,P235GH / HI,Type 40,Cryodur 2363,K94100,HU50,A29,,Frankreich
,,,,126    ,,,,,,,,1.0394,HC220I / H220G1,40,DM3,N09902,HP,A295,,Gabun
,,,,132    ,,,,,,,,1.0399,St13 / DC03G1,Grade Type 70,Thermodur 2365 EFS,K94600,CT15C,A299,,Gambia
,,,,138    ,,,,,,,,1.0401,RRSt3 / DC03G1,Grade 70,Thermodur 2365 Superclean,K94800,C12A,A302,,Georgien
,,,,144    ,,,,,,,,1.0402,RRSt13 / DC03G1,Type 70,DM3X,S20910,CF10M,A304,,Abchasien
,,,, 1 13/16,,,,,,,,1.0403,H260I / H250G1,70,Thermodur 2367 EFS,S33228,CM-70,A311,,Südossetien
,,,,2 1/16,,,,,,,,1.0405,St03Z / DX52D,Grade Type 55,Thermodur 2367 Superclean,K94610,WC1,A312,,Ghana
,,,, 2 9/16,,,,,,,,1.0406,P245GH,Grade 55,CPPU,S40977,LC1,A313,,Grenada
,,,,3 1/8,,,,,,,,1.0408,St05Z / DX53D,Type 55,Cryodur 2379,S41003,LCB,A314,,Griechenland
,,,,3 1/16,,,,,,,,1.0409,TTSt35,55,Thyrodur 2379,S41600,WCB,A320,,Guatemala
,,,,4 1/16,,,,,,,,1.0415,TTSt35N / V,Grade Type 2,1.2379PLUS,S41000,LC2,A322,,Guinea
,,,,5 1/8,,,,,,,,1.0416,TTSt35N / P215NL,Grade 2,Cryodur 2381,S42000,B2NB2Q,A333,,Guinea-Bissau
,,,,7 1/16,,,,,,,,1.0417,TTSt35V / P255QL,Type 2,CPW,S42020,LC3,A334,,Guyana
,,,,9    ,,,,,,,,1.0418,FeK1 / DC01EK,2,Cryodur 2436,S43100,B3NB3Q,A335,,Haiti
,,,,11    ,,,,,,,,1.0419,EK4 / DC04EK,Grade Type 1030,Z3C,J91803,LCC,A335 / A209,,Honduras
,,,, 13 5/8,,,,,,,,1.0420,FeD4 / DC04EK,Grade 1030,Cryodur 2510,S43020,A2Q,A335 / A213,,Indien
,,,,16 3/4,,,,,,,,1.0421,"FeD4, EK4 / DC04EK",Type 1030,Cryodur 2516,S30400,LC2-1,A336,,mit Kaschmir
,,,,18 3/4,,,,,,,,1.0423,ED4 / DC04ED,1030,Hidalgo I,S30400/S30403,E1Q,A350,,Indonesien
,,,,20 3/4,,,,,,,,1.0425,FeD3 / DC03ED,Grade Type 1016,Cryodur 2550,S30500,WC5,A351,,Irak
,,,,21 1/4,,,,,,,,1.0426,C15,Grade 1016,CPPK,S30600,WC6,A352,,Iran
,,,,26 3/4,,,,,,,,1.0429,C22,Type 1016,WR Spezial,S30300,C5,A353,,Irland
,,,,,,,,,,,,1.0430,C15GPb / C15Pb,1016,X55,S30403,WC9,A355,,Island
,,,,,,,,,,,,1.0432,St45.8 / P265GH,Grade Type 1013,Cryodur 2709,S30100,C12,A356,,Israel
,,,,,,,,,,,,1.0435,St45.8 / P255G1TH,Grade 1013,Formadur 2711,S30200,CP9,A358,,Golanhöhen
,,,,,,,,,,,,1.0436,C25,Type 1013,A50,S30453,9,A368,,Italien
,,,,,,,,,,,,1.0437,"St45.8 / S255GT, E255",1013,NC50E,S41500,C24,A369,,Jamaika
,,,,,,,,,,,,1.0439,St45.8 / S255GT,Grade Type II,Cryodur 2721,S30451,M-35-1,A372,,Japan
