Produkt-Typ (Rohr),Produkt-Norm (Rohr),Herstellungsart,Nennweite (DN),Nennweite (Zoll),Wandstärke (mm),Schedule,Außendurchmesser (mm),Innendurchmesser (mm),Fugenform,Oberfläche,Lieferzustand,Werkstoffnummer,DIN/EN-Bezeichnung,Stahlsorte,Handelsname,UNS-Nummer,Gussnummer,Werkstoff Norm,Zulassungen,Ursprung
,,,,,,,,,,,,1.4903,GX130CrSi29,UNS G11400,Alloy B4/N10629,,,VdTÜV WB 237,,
,,,,,,,,,,,,1.4910,GX8CrNi19-10,Grade Type 1146,Hastelloy B4,,,VdTÜV WB 240,,
,,,,,,,,,,,,1.4919,X6CrNiSiNCe19-10,Grade 1146,Hastelloy B4/N10629,,,VdTÜV WB 255,,
,,,,,,,,,,,,1.4922,X15CrNiSi25-4 / X20CrNiSi25-4,Type 1146,Nicrofer 6629,,,VdTÜV WB 255 BBL,,
,,,,,,,,,,,,1.4923,GX40CrNi24-5,1146,Nicrofer 6629/N10629,,,VdTÜV WB 257,,
,,,,,,,,,,,,1.4935,GX40CrNiSi27-4,Grade Type 1139,C22,,,VdTÜV WB 263,,
,,,,,,,,,,,,1.4939,GX25CrNiSi18-9,Grade 1139,Alloy C22,,,VdTÜV WB 263 BBL,,
,,,,,,,,,,,,1.4941,GX40CrNiSi22-10 / GX40CrNiSi22-9,Type 1139,Alloy C22/N06022,,,VdTÜV WB 277/2,,
,,,,,,,,,,,,1.4943,GX8CrNiNb19-10,1139,VDM Alloy 22,,,VdTÜV WB 277/2 BBL,,
,,,,,,,,,,,,1.4948,X15CrNiSi20-12,Grade Type UNS G11460,Nicrofer 5621hMoW,,,VdTÜV WB 278,,
,,,,,,,,,,,,1.4950,X15CrNiSi20-12 / X12CrNi23-13 / X7CrNi2314,Grade UNS G11460,N06022,,,VdTÜV WB 280,,
,,,,,,,,,,,,1.4951,X15CrNiSi20-12 / X12CrNi23-13,Type UNS G11460,Hastelloy C22,,,VdTÜV WB 282,,
,,,,,,,,,,,,1.4956,X15CrNiSi20-12 / X7CrNi2314,UNS G11460,Hastelloy C22/N06022,,,VdTÜV WB 286,,
,,,,,,,,,,,,1.4958,X12CrNi23-13 / X7CrNi2314,Grade Type UNS G11390,G-30,,,VdTÜV WB 286 BBL,,
,,,,,,,,,,,,1.4958 ,GX25CrNiSi20-14,Grade UNS G11390,Alloy G-30,,,VdTÜV WB 305,,
,,,,,,,,,,,,1.4959,X9CrNiSiNCe21-11-2,Type UNS G11390,Alloy G-30/N06030,,,VdTÜV WB 305 BBL,,
,,,,,,,,,,,,1.4961,GX40CrNiSi25-12,UNS G11390,N06030,,,VdTÜV WB 307,,
,,,,,,,,,,,,1.4971,GX15CrNi25-20,Grade Type 1151,Hastelloy G-30,,,VdTÜV WB 311,,
,,,,,,,,,,,,1.4974,X15CrNiSi25-21 / X15CrNiSi25-20,Grade 1151,Hastelloy G-30/N06030,,,VdTÜV WB 311/2,,
,,,,,,,,,,,,1.4980,CrNi2520(X16CrNi25-20),Type 1151,59,,,VdTÜV WB 311/3,,
,,,,,,,,,,,,1.4986,X8CrNi25-21 / X12CrNi25-21,1151,Alloy 59,,,VdTÜV WB 311/4,,
,,,,,,,,,,,,1.5022,X8CrNiAlTi20-20,Grade Type 1215,Alloy 59/N06059,,,VdTÜV WB 314,,
,,,,,,,,,,,,1.5023,GX40CrNiSi25-20,Grade 1215,Nicrofer 5923hMo,,,VdTÜV WB 327,,
,,,,,,,,,,,,1.5024,GX40NiCrSiNb38-19 / GX40NiCrSiNb38-18,Type 1215,Nicrofer 5923hMo/N06059,,,VdTÜV WB 328,,
,,,,,,,,,,,,1.5025,GX40NiCrSiNb35-26 / GX40NiCrSiNb35-25,Grade Type 12L14,Hastelloy C-59,,,VdTÜV WB 337,,
,,,,,,,,,,,,1.5026,X6NiCrSiNCe35-25,Grade 12L14,C-59,,,VdTÜV WB 337 BBL,,
,,,,,,,,,,,,1.5027,GX40CrNiSiNb24-24 / GX30CrNiSiNb24-24,Type 12L14,Hastelloy C-59/N06059,,,VdTÜV WB 341,,
,,,,,,,,,,,,1.5028,GX40NiCrSi35-26 / GX40NiCrSi35-25,12L14,VDM FM 59,,,VdTÜV WB 342,,
,,,,,,,,,,,,1.5029,GX10NiCrSiNb32-20 / GX10NiCrNb32-20,Grade Type UNS G12144,FM 59,,,VdTÜV WB 343,,
,,,,,,,,,,,,1.5069,X16NiCr30-20 / NiCr3020,Grade UNS G12144,Nicrofer S 5923,,,VdTÜV WB 345,,
,,,,,,,,,,,,1.5120,X10NiCr32-20,Type UNS G12144,333,,,VdTÜV WB 345 BBL,,
,,,,,,,,,,,,1.5121,X8NiCrSi38-18 / X8NiCrSi38-18,UNS G12144,Alloy 333,,,VdTÜV WB 350/1,,
,,,,,,,,,,,,1.5122,X12NiCrSi35-16 / X12NiCrSi36-16,Grade Type 1141,Alloy 333/N06333,,,VdTÜV WB 350/1 BBL,,
,,,,,,,,,,,,1.5131,GX40NiCrSi38-19 / GX40NiCrSi38-18,Grade 1141,RA333,,,VdTÜV WB 350/3,,
,,,,,,,,,,,,1.5141,X33CrNiMnN23-8,Type 1141,RA333/N06333,,,VdTÜV WB 350/3 BBL,,
,,,,,,,,,,,,1.5142,X53CrMnNiN21-9,1141,C4,,,VdTÜV WB 351/1,,
,,,,,,,,,,,,1.5223,X55CrMnNiN20-8,Grade Type 1144,Alloy C4,,,VdTÜV WB 351/1 BBL,,
,,,,,,,,,,,,1.5231,X10NiCrAITi32-21 / X10NiCrAITi32-20,Grade 1144,Alloy C4/N06455,,,VdTÜV WB 351/2,,
,,,,,,,,,,,,1.5310,X6NiCrNbCe32-27 / X5NiCrNbCe32-27,Type 1144,Hastelloy C4,,,VdTÜV WB 351/2 BBL,,
,,,,,,,,,,,,1.5403,X50CrMnNiNbN21-9,1144,Hastelloy C4/N06455,,,VdTÜV WB 352/1,,
,,,,,,,,,,,,1.5404,X10CrNiCoMoN222018 / X10CrNiCoMoN222018,Grade Type 1137,Nicrofer 6616 hMo,,,VdTÜV WB 352/1 BBL,,
,,,,,,,,,,,,1.5406,X12CrNiMoNb20-15,Grade 1137,Nicrofer 6616 hMo C4,,,VdTÜV WB 352/2,,
,,,,,,,,,,,,1.5415,X10NiCrSi35-19 / X10NiCrSi35-19,Type 1137,Nicrofer 6616 hMo/N06455,,,VdTÜV WB 352/2 BBL,,
,,,,,,,,,,,,1.5419,X10NiCrSiLa38-22 / X10NiCrSiLa38-22,1137,B2,,,VdTÜV WB 352/3,,
,,,,,,,,,,,,1.5422,X10CrWMoVNb9-2 / X10CrWMoV9-2,Grade Type UNS G11370,Alloy B2,,,VdTÜV WB 352/3 BBL,,
,,,,,,,,,,,,1.5423,X10CrMoVNbN9-1,Grade UNS G11370,Alloy B2/N10665,,,VdTÜV WB 353/1,,
,,,,,,,,,,,,1.5429,X3CrNiMoBN17-13-3,Type UNS G11370,N10665,,,VdTÜV WB 353/1 BBL,,
,,,,,,,,,,,,1.5432,X6CrNiMo17-13-2 / X6CrNiMo17-12-2,UNS G11370,Hastelloy B2,,,VdTÜV WB 354/1,,
,,,,,,,,,,,,1.5513,X20CrMoV11-1 / X20CrMoV12-1,Grade Type UNS K02403,Hastelloy B2/N10665,,,VdTÜV WB 354/1 BBL,,
,,,,,,,,,,,,1.5520,X22CrMoV12 / X21CrMoNiV12-1,Grade UNS K02403,Nimofer 6928,,,VdTÜV WB 354/2,,
,,,,,,,,,,,,1.5523,X20CrMoWV12-1,Type UNS K02403,Nimofer 6629 Alloy B2,,,VdTÜV WB 354/2 BBL,,
,,,,,,,,,,,,1.5530,X12CrNiMoN12 / X12CrNiMo12,UNS K02403,Nimofer 6629 ,,,VdTÜV WB 354/3,,
,,,,,,,,,,,,1.5531,X8CrNiTi18-10 / X6CrNiTiB18-10,Grade Type UNS K02302,G,,,VdTÜV WB 354/3 BBL,,
,,,,,,,,,,,,1.5532,X4NiCrTiMoV26-15 / X4NiCrTi25-15,Grade UNS K02302,Alloy G,,,VdTÜV WB 355/1,,
,,,,,,,,,,,,1.5621,X6CrNi18-11 / X6CrNi18-10,Type UNS K02302,Alloy G/N06007,,,VdTÜV WB 355/1 BBL,,
,,,,,,,,,,,,1.5622,X6CrNi23-13,UNS K02302,Hastelloy G,,,VdTÜV WB 356/1,,
,,,,,,,,,,,,1.5633,X6CrNi25-20,Grade Type UNS K02100,Hastelloy G/N06007,,,VdTÜV WB 356/1 BBL,,
,,,,,,,,,,,,1.5636,X7CrNiCo21-20-20,Grade UNS K02100,G-3,,,VdTÜV WB 356/2,,
,,,,,,,,,,,,1.5637,X5NiCrAlTi31-20 / X5NiCrAlTi31-20,Type UNS K02100,Alloy G-3,,,VdTÜV WB 356/2 BBL,,
,,,,,,,,,,,,1.5638,X8NiCrAlTi32-21 / X8NiCrAlTi32-21,UNS K02100,Alloy G-3/N06985,,,VdTÜV WB 356/3,,
,,,,,,,,,,,,1.5639,X8CrNiNb16-13,Grade Type UNS K12510,N06985,,,VdTÜV WB 356/3 BBL,,
,,,,,,,,,,,,1.5662,X12CrNiCoMoWMnNNb21-20-20-3-3-2 / X12CrCoNi21-20,Grade UNS K12510,Nicrofer 4823hMo Alloy G-3,,,VdTÜV WB 357/1,,
,,,,,,,,,,,,1.5663,C12CrCoNi21-20,Type UNS K12510,Nicrofer 4823hMo/N06985,,,VdTÜV WB 357/1 BBL,,
,,,,,,,,,,,,1.5680,X6NiCrTiMoVB25-15-2,UNS K12510,Inconel G-3,,,VdTÜV WB 357/2,,
,,,,,,,,,,,,1.5681,X8CrNiMoBNb16-16 / X7CrNiMoBNb16-16,Grade Type UNS K12437,Inconel G-3/N06985,,,VdTÜV WB 357/2 BBL,,
,,,,,,,,,,,,1.5710,38Si6,Grade UNS K12437,VDM CW 182,,,VdTÜV WB 357/3,,
,,,,,,,,,,,,1.5711,38Si7,Type UNS K12437,VDM FM 617,,,VdTÜV WB 357/3 BBL,,
,,,,,,,,,,,,1.5713,46Si7,UNS K12437,FM 617,,,VdTÜV WB 358/1,,
,,,,,,,,,,,,1.5714,51Si7,Grade Type UNS K02700,Alloy FM 617,,,VdTÜV WB 358/1 BBL,,
,,,,,,,,,,,,1.5715,56Si7 / 55Si7,Grade UNS K02700,Nicrofer S 5520,,,VdTÜV WB 358/3,,
,,,,,,,,,,,,1.5732,60Si7,Type UNS K02700,Nicrofer S 5520 Co B,,,VdTÜV WB 358/3 BBL,,
,,,,,,,,,,,,1.5736,65Si7,UNS K02700,VDM FM 617 B,,,VdTÜV WB 361,,
,,,,,,,,,,,,1.5752,71Si7,Grade Type LCC,FM 617 B,,,VdTÜV WB 364,,
,,,,,,,,,,,,1.5755,36Mn7,Grade LCC,Alloy FM 617 B,,,VdTÜV WB 364 BBL,,
,,,,,,,,,,,,1.5805,38MnSi4,Type LCC,VDM FM 622,,,VdTÜV WB 367,,
,,,,,,,,,,,,1.5810,46MnSi4,LCC,FM 622,,,VdTÜV WB 368,,
,,,,,,,,,,,,1.5860,37MnSi5,Grade Type UNS G10100,Alloy 622,,,VdTÜV WB 369,,
,,,,,,,,,,,,1.5864,50MnSi4,Grade UNS G10100,Nicrofer S 5621,,,VdTÜV WB 371,,
,,,,,,,,,,,,1.5918,53MnSi4,Type UNS G10100,VDM FM 625,,,VdTÜV WB 372,,
,,,,,,,,,,,,1.5919,60SiMn5,UNS G10100,FM 625,,,VdTÜV WB 373,,
,,,,,,,,,,,,1.5920,42MnV7,Grade Type 1015,Alloy FM 625,,,VdTÜV WB 374,,
,,,,,,,,,,,,1.6212,38MnSiVS5,Type 1015,Nicrofer S 6020 LA,,,VdTÜV WB 375,,
,,,,,,,,,,,,1.6217,8SiTi4,Grade Type M1015,CW 182,,,VdTÜV WB 376,,
,,,,,,,,,,,,1.6210,17MnMoV6-4,Grade M1015,Nicrofer K7015,,,VdTÜV WB 377/1,,
,,,,,,,,,,,,1.6211,21MoV5-3,Type M1015,Nicrofer K7017,,,VdTÜV WB 377/1 BBL,,
,,,,,,,,,,,,1.6220,17MoV8-4,M1015,Nicrofer K7015/7017,,,VdTÜV WB 377/2,,
,,,,,,,,,,,,1.6227,15Mo3 / 16Mo3,Grade Type 1522,75,,,VdTÜV WB 377/2 BBL,,
,,,,,,,,,,,,1.6228,GS-22Mo4 / G20Mo5,Grade 1522,Alloy 75,,,VdTÜV WB 377/3,,
,,,,,,,,,,,,1.6310,G18Mo5,Type 1522,Alloy 75/N06075,,,VdTÜV WB 377/3 BBL,,
,,,,,,,,,,,,1.6311,16Mo5,1522,Nimonic 75,,,VdTÜV WB 378,,
,,,,,,,,,,,,1.6349,22Mo4,Grade Type 1522H,Nimonic Alloy 75,,,VdTÜV WB 379,,
,,,,,,,,,,,,1.6358,42MnMo7,Grade 1522H,Nimonic 75/N06075,,,VdTÜV WB 379 BBL,,
,,,,,,,,,,,,1.6359,45B2,Type 1522H,7520,,,VdTÜV WB 380,,
,,,,,,,,,,,,1.6368,17MnB4,1522H,Nicrofer 7520,,,VdTÜV WB 382,,
,,,,,,,,,,,,1.6511,19MnB4,Grade Type MT1015,Nicrofer 7520/N06075,,,VdTÜV WB 382 BBL,,
,,,,,,,,,,,,1.6513,20MnB5 / 21MnB5,Type MT1015,80A,,,VdTÜV WB 384,,
,,,,,,,,,,,,1.6522,30MnB5,Grade Type UNS G10170,Alloy 80A,,,VdTÜV WB 385,,
,,,,,,,,,,,,1.6523,38MnB5,Grade UNS G10170,Alloy 80A/N07080,,,VdTÜV WB 386,,
,,,,,,,,,,,,1.6526,GS-10Ni6 / G10Ni6,Type UNS G10170,7520Ti,,,VdTÜV WB 387,,
,,,,,,,,,,,,1.6527,14Ni6,UNS G10170,Nicrofer 7520Ti,,,VdTÜV WB 387 BBL,,
,,,,,,,,,,,,1.6541,24Ni8,Grade Type M1020,Nicrofer 7520Ti/N07080,,,VdTÜV WB 388,,
,,,,,,,,,,,,1.6545,G9Ni10,Grade M1020,Nimonic 80A,,,VdTÜV WB 388 BBL,,
,,,,,,,,,,,,1.6546,12Ni14 / 10Ni14,Type M1020,Nimonic 80A/N07080,,,VdTÜV WB 390,,
,,,,,,,,,,,,1.6562,GS-10Ni14 / G9Ni14,M1020,Alloy 80A/N06075,,,VdTÜV WB 390 BBL,,
,,,,,,,,,,,,1.6565,16Ni14,Grade Type MT1020,90,,,VdTÜV WB 392,,
,,,,,,,,,,,,1.6566,X8Ni9,Grade MT1020,Alloy 90,,,VdTÜV WB 392 BBL,,
,,,,,,,,,,,,1.6569,X7Ni9,Type MT1020,Alloy 90/N07090,,,VdTÜV WB 395/1,,
,,,,,,,,,,,,1.6571,X12Ni5 / 12Ni19,MT1020,Nimonic 90,,,VdTÜV WB 395/3,,
,,,,,,,,,,,,1.6580,"GX9Ni5, GX10Ni5 / GS-10Ni19",Grade Type M1023,Nimonic Alloy 90,,,VdTÜV WB 395/3 BBL,,
,,,,,,,,,,,,1.6582,GX9Ni5 / GS-10Ni19,Grade M1023,Nimonic 90/N07090,,,VdTÜV WB 396,,
,,,,,,,,,,,,1.6587,GX10Ni5 / GS-10Ni19,Type M1023,VAT90,,,VdTÜV WB 397,,
,,,,,,,,,,,,1.6657,GX9Ni5 / GX10Ni5,M1023,VAT90/N07090,,,VdTÜV WB 398,,
,,,,,,,,,,,,1.6755,36NiCr6,Grade Type 1039,602,,,VdTÜV WB 399/3,,
,,,,,,,,,,,,1.6758,40NiCr6,Grade 1039,Alloy 602,,,VdTÜV WB 399/3 BBL,,
,,,,,,,,,,,,1.6747,13NiCr6,Type 1039,Alloy 602/N06025,,,VdTÜV WB 400,,
,,,,,,,,,,,,1.6773,16NiCr4,1039,602CA,,,VdTÜV WB 400 BBL,,
,,,,,,,,,,,,1.6781,16NiCrS4,Grade Type 1335,Alloy 602CA,,,VdTÜV WB 401/1,,
,,,,,,,,,,,,1.6783,14NiCr10,Grade 1335,Alloy 602CA/N06025,,,VdTÜV WB 401/1 BBL,,
,,,,,,,,,,,,1.6900,36NiCr10,Type 1335,6025H/HT,,,VdTÜV WB 401/2,,
,,,,,,,,,,,,1.6901,15NiCr13 / 14NiCr14,1335,Nicrofer 6025H/HT,,,VdTÜV WB 401/2 BBL,,
,,,,,,,,,,,,1.6902,31NiCr14,Grade Type 1330,Nicrofer 6025H/HT/N06025,,,VdTÜV WB 401/3,,
,,,,,,,,,,,,1.6905,10NiCr5-4,Grade 1330,6025HT,,,VdTÜV WB 401/3 BBL,,
,,,,,,,,,,,,1.6907,18NiCr5-4,Type 1330,Nicrofer 6025HT,,,VdTÜV WB 402,,
,,,,,,,,,,,,1.6932,14NiCr18,1330,Nicrofer 6025HT/N06025,,,VdTÜV WB 402 BBL,,
,,,,,,,,,,,,1.6948,35NiCr18,Grade Type 1038,6025H,,,VdTÜV WB 403,,
,,,,,,,,,,,,1.6956,17CrNi6-6,Grade 1038,105,,,VdTÜV WB 404/1,,
,,,,,,,,,,,,1.6981,15CrNi6 / 17CrNi6-6,Type 1038,Alloy 105,,,VdTÜV WB 404/1 BBL,,
,,,,,,,,,,,,1.7001,18CrNi8,1038,Alloy 105/N13021,,,VdTÜV WB 404/3,,
,,,,,,,,,,,,1.7002,11MnNi5-3,Grade Type C1034,Nimonic 105,,,VdTÜV WB 404/3 BBL,,
,,,,,,,,,,,,1.7003,13MnNi6-3,Grade C1034,Nimonic Alloy 105,,,VdTÜV WB 405,,
,,,,,,,,,,,,1.7005,15MnNi6-3,Type C1034,Nimonic Alloy 105/N13021,,,VdTÜV WB 405 BBL,,
,,,,,,,,,,,,1.7006,16MnNi6-3,C1034,115,,,VdTÜV WB 406,,
,,,,,,,,,,,,1.7007,G20Mn5,Grade Type 1038H,Alloy 115,,,VdTÜV WB 407,,
,,,,,,,,,,,,1.7014,11NiMn9-4,Grade 1038H,Nimonic 115,,,VdTÜV WB 409,,
,,,,,,,,,,,,1.7015,15NiMn6 / 14NiMn6,Type 1038H,Nimonic Alloy 115,,,VdTÜV WB 410,,
,,,,,,,,,,,,1.7016,20MnMoNi5-5,1038H,690,,,VdTÜV WB 410 BBL,,
,,,,,,,,,,,,1.7020,20MnMoNi4-5,Grade Type UNS G10350,Alloy 690,,,VdTÜV WB 411,,
,,,,,,,,,,,,1.7021,X7NiMo6,Grade UNS G10350,Alloy 690/N06690,,,VdTÜV WB 411 BBL,,
,,,,,,,,,,,,1.7023,X2NiCoMo18-9-5,Type UNS G10350,6030,,,VdTÜV WB 412,,
,,,,,,,,,,,,1.7025,X2NiCoMo18-8-5,UNS G10350,Nicrofer 6030,,,VdTÜV WB 412 BBL,,
,,,,,,,,,,,,1.7027,15NiCuMoNb5-6-4 / 15NiCuMoNb5,Grade Type UNS H10350,Nicrofer 6030/N06690,,,VdTÜV WB 413,,
,,,,,,,,,,,,1.7028,36CrNiMo4,Grade UNS H10350,Inconel 690,,,VdTÜV WB 414,,
,,,,,,,,,,,,1.7030,28NiCrMo4,Type UNS H10350,Inconel Alloy 690,,,VdTÜV WB 415,,
,,,,,,,,,,,,1.7033,20NiCrMo2 / 20MnNiCrMo3-2,UNS H10350,Inconel Alloy 690/N06690,,,VdTÜV WB 415/2,,
,,,,,,,,,,,,1.7034,20NiCrMo2-2 / 21NiCrMo2,Grade Type UNS G10380,Nickelvac 690,,,VdTÜV WB 415/3,,
,,,,,,,,,,,,1.7035,20NiCrMoS2-2 / 21NiCrMoS2,Grade UNS G10380,ATI Allvac 690,,,VdTÜV WB 417,,
,,,,,,,,,,,,1.7036,20NiCrMo3,Type UNS G10380,G-35,,,VdTÜV WB 418,,
,,,,,,,,,,,,1.7037,23MnNiCrMo5-2,UNS G10380,Alloy G-35,,,VdTÜV WB 418 BBL,,
,,,,,,,,,,,,1.7038,30NiCrMo2-2,Grade Type UNS G10340,Alloy G-35/N06035,,,VdTÜV WB 420/1,,
,,,,,,,,,,,,1.7039,40NiCrMo2-2,Grade UNS G10340,N06035,,,VdTÜV WB 420/1 BBL,,
,,,,,,,,,,,,1.7043,40NiCrMo8-4 / 40NiCrMo84,Type UNS G10340,Hastelloy G-35,,,VdTÜV WB 420/2,,
,,,,,,,,,,,,1.7045,40NiCrMo6,UNS G10340,Hastelloy G-35/N06035,,,VdTÜV WB 420/2 BBL,,
,,,,,,,,,,,,1.7102,17NiCrMo6-4,Grade Type 1045H,214,,,VdTÜV WB 420/3,,
,,,,,,,,,,,,1.7103,17NiCrMoS6-4,Grade 1045H,Alloy 214,,,VdTÜV WB 420/4,,
,,,,,,,,,,,,1.7106,20NiCrMoS6-4,Type 1045H,Alloy 214/N06035,,,VdTÜV WB 420/5,,
,,,,,,,,,,,,1.7108,30CrNiMo8,1045H,Haynes 214,,,VdTÜV WB 420/5 BBL,,
,,,,,,,,,,,,1.7131,34CrNiMo6,Grade Type UNS H10450,Haynes Alloy 214,,,VdTÜV WB 420/6,,
,,,,,,,,,,,,1.7137,18CrNiMo7-6 / 17CrNiMo6,Grade UNS H10450,Haynes Alloy 214/N07214,,,VdTÜV WB 420/6 BBL,,
,,,,,,,,,,,,1.7138,14NiCrMo13-4,Type UNS H10450,VDM FM 602 CA,,,VdTÜV WB 420/7,,
,,,,,,,,,,,,1.7139,22NiMoCr4-7,UNS H10450,Nicrofer S 6025,,,VdTÜV WB 420/7 BBL,,
,,,,,,,,,,,,1.7147,3NiMoCr12-20,Grade Type UNS G10420,C-263,,,VdTÜV WB 421,,
,,,,,,,,,,,,1.7149,30NiCrMo16-6,Grade UNS G10420,Alloy C-263,,,VdTÜV WB 421 BBL,,
,,,,,,,,,,,,1.7160,36NiCrMo16,Type UNS G10420,Alloy C-263/N07263,,,VdTÜV WB 422,,
,,,,,,,,,,,,1.7176,G18NiCrMo12-6 / G17NiCrMo13-6,UNS G10420,Nimonic C-263,,,VdTÜV WB 423,,
,,,,,,,,,,,,1.7182,GS-19NiCrMo126 / G19NiCrMo12-6,Grade Type 1055,Nimonic Alloy C-263,,,VdTÜV WB 424,,
,,,,,,,,,,,,1.7185,X12CrNi1819,Grade 1055,Nimonic Alloy C-263/N07263,,,VdTÜV WB 424 BBL,,
,,,,,,,,,,,,1.7189,G-X8CrNi1810,Type 1055,5120 CoTi,,,VdTÜV WB 425,,
,,,,,,,,,,,,1.7213,GX6CrNi18-10 / G-X6CrNi1810,1055,Nicrofer 5120 CoTi,,,VdTÜV WB 427/1,,
,,,,,,,,,,,,1.7216,GX5CrNiNb18-10,Grade Type 1064,Nicrofer 5120 CoTi/N07263,,,VdTÜV WB 427/1 BBL,,
,,,,,,,,,,,,1.7218,X3CrNiN18-10,Grade 1064,Haynes 263,,,VdTÜV WB 427/2,,
,,,,,,,,,,,,1.7219,28NiCrMoV8-5,Type 1064,Haynes 263/N07263,,,VdTÜV WB 427/2 BBL,,
,,,,,,,,,,,,1.7220,27NiCrMoV11-6 / 26NiCrMoV11-5,1064,WASPALOY,,,VdTÜV WB 427/3,,
,,,,,,,,,,,,1.7223,33NiCrMoV14-5 / 33NiCrMo14-5,Grade Type UNS G10640,WASPALOY/N07001,,,VdTÜV WB 427/3 BBL,,
,,,,,,,,,,,,1.7225,21CrMoNiV4-7,Grade UNS G10640,WASPALOY 25,,,VdTÜV WB 428,,
,,,,,,,,,,,,1.7226,38Cr1,Type UNS G10640,Haynes Waspaloy Alloy,,,VdTÜV WB 429,,
,,,,,,,,,,,,1.7227,46Cr1,UNS G10640,Haynes/N07001,,,VdTÜV WB 430,,
,,,,,,,,,,,,1.7228,38Cr2,Grade Type UNS G10600,Haynes Waspaloy Alloy/N07001,,,VdTÜV WB 431,,
,,,,,,,,,,,,1.7238,45Cr2,Grade UNS G10600,HT70,,,VdTÜV WB 431 BBL,,
,,,,,,,,,,,,1.7241,46Cr2,Type UNS G10600,Alloy HT70,,,VdTÜV WB 432/1,,
,,,,,,,,,,,,1.7242,37CrB1,UNS G10600,Alloy HT70/N06008,,,VdTÜV WB 432/1 BBL,,
,,,,,,,,,,,,1.7243,17CrS3,Grade Type 1086,Cronix 70,,,VdTÜV WB 432/2,,
,,,,,,,,,,,,1.7244,15Cr3,Grade 1086,20,,,VdTÜV WB 432/2 BBL,,
,,,,,,,,,,,,1.7258,17Cr3,Type 1086,Alloy 20,,,VdTÜV WB 432/3,,
,,,,,,,,,,,,1.7259,32Cr2,1086,Alloy 20/N08020,,,VdTÜV WB 432/3 BBL,,
,,,,,,,,,,,,1.7262,32CrS2,Grade Type 1085,N08020,,,VdTÜV WB 433,,
,,,,,,,,,,,,1.7264,38CrS2,Grade 1085,Nicrofer 3620 Nb ,,,VdTÜV WB 434,,
,,,,,,,,,,,,1.7271,46CrS2,Type 1085,Nicrofer 3620 Nb Alloy 20,,,VdTÜV WB 434 BBL,,
,,,,,,,,,,,,1.7273,20Cr4,1085,Nicrofer 3620 Nb Alloy 20/N08020,,,VdTÜV WB 435/3,,
,,,,,,,,,,,,1.7276,20CrS4,Grade Type 1095,Carpenter 20 CB-3,,,VdTÜV WB 435/3 BBL,,
,,,,,,,,,,,,1.7281,28Cr4,Grade 1095,Alloy 20CB-3,,,VdTÜV WB 436,,
,,,,,,,,,,,,1.7311,34Cr4,Type 1095,20CB-3,,,VdTÜV WB 436 BBL,,
,,,,,,,,,,,,1.7319,37Cr4,1095,Alloy 20CB-3/N08020,,,VdTÜV WB 439,,
,,,,,,,,,,,,1.7320,41Cr4,Grade Type W1A-8,VDM Alloy 20,,,VdTÜV WB 440/1,,
,,,,,,,,,,,,1.7321,28CrS4,Grade W1A-8,Nicrofer 3620nb,,,VdTÜV WB 440/1 BBL,,
,,,,,,,,,,,,1.7323,34CrS4,Type  W1A-8,Incoloy 20,,,VdTÜV WB 440/3,,
,,,,,,,,,,,,1.7325,37CrS4,W1A-8,Nickel Alloy 20,,,VdTÜV WB 440/3 BBL,,
,,,,,,,,,,,,1.7326,41CrS4,Grade Type W1A-10,Carpenter 20   ,,,VdTÜV WB 444,,
,,,,,,,,,,,,1.7332,38Cr4,Grade W1A-10,901,,,VdTÜV WB 445,,
,,,,,,,,,,,,1.7333,42Cr4,Type  W1A-10,Alloy 901,,,VdTÜV WB 446,,
,,,,,,,,,,,,1.7335,54SiCr6,W1A-10,Nimonic 901,,,VdTÜV WB 447,,
,,,,,,,,,,,,1.7337,67SiCr5,Grade Type W2C-13,Nimonic Alloy 901,,,VdTÜV WB 448,,
,,,,,,,,,,,,1.7350,56SiCr7 / 55SiCr7,Grade W2C-13,Nimonic Alloy 901/N09901,,,VdTÜV WB 448 BBL,,
,,,,,,,,,,,,1.7357,61SiCr7 / 60SiCr7,Type  W2C-13,617,,,VdTÜV WB 449,,
,,,,,,,,,,,,1.7361,16MnCr5,W2C-13,Alloy 617,,,VdTÜV WB 450,,
,,,,,,,,,,,,1.7362,60MnCrB3,Grade Type W1A-9 1/2,Alloy 617/N06617,,,VdTÜV WB 451,,
,,,,,,,,,,,,1.7363,52MnCrB3,Grade W1A-9 1/2,5520 Co,,,VdTÜV WB 451 BBL,,
,,,,,,,,,,,,1.7365,16MnCrS5,Type W1A-9 1/2,Nicrofer 5520 Co,,,VdTÜV WB 452,,
,,,,,,,,,,,,1.7366,20MnCr5,W1A-9 1/2,Nicrofer 5520 Co/N06617,,,VdTÜV WB 452 BBL,,
,,,,,,,,,,,,1.7368,20MnCrS5,Grade Type W5,Inconel 617,,,VdTÜV WB 453,,
,,,,,,,,,,,,1.7375,16MnCrB5,Grade W5,Inconel Alloy 617,,,VdTÜV WB 453 BBL,,
,,,,,,,,,,,,1.7379,55Cr3,Type W5,Nickel 617,,,VdTÜV WB 455,,
,,,,,,,,,,,,1.7380,27nCrB5-2,W5,Nickel Alloy 617,,,VdTÜV WB 456,,
,,,,,,,,,,,,1.7383,33MnCrB5-2,Grade Type L3,N06002,,,VdTÜV WB 457,,
